,date,value
1049,2019-11-16,8935
1050,2019-11-17,9076
1051,2019-11-18,9201
1052,2019-11-19,9331
1053,2019-11-20,9359
1054,2019-11-21,9427
1055,2019-11-22,9623
1056,2019-11-23,9592
1057,2019-11-24,9686
1058,2019-11-25,9879
1059,2019-11-26,9967
1060,2019-11-27,10047
1061,2019-11-28,10082
1062,2019-11-29,10112
1063,2019-11-30,10040
1064,2019-12-01,10082
1065,2019-12-02,10170
1066,2019-12-03,10027
1067,2019-12-04,10055
1068,2019-12-05,10162
1069,2019-12-06,10145
1070,2019-12-07,10008
1071,2019-12-08,9972
1072,2019-12-09,9999
1073,2019-12-10,10043
1074,2019-12-11,10169
1075,2019-12-12,10099
1076,2019-12-13,10046
1077,2019-12-14,10255
1078,2019-12-15,10246
0,2019-12-16,10357
