,date,value
284,2020-10-11,35
285,2020-10-12,34
286,2020-10-13,30
287,2020-10-14,26
288,2020-10-15,28
289,2020-10-16,35
290,2020-10-17,39
291,2020-10-18,37
292,2020-10-19,31
293,2020-10-20,28
294,2020-10-21,32
295,2020-10-22,38
296,2020-10-23,40
297,2020-10-24,36
298,2020-10-25,31
299,2020-10-26,30
300,2020-10-27,35
301,2020-10-28,41
302,2020-10-29,42
303,2020-10-30,38
304,2020-10-31,33
305,2020-11-01,33
306,2020-11-02,39
307,2020-11-03,44
308,2020-11-04,44
309,2020-11-05,39
310,2020-11-06,35
311,2020-11-07,37
312,2020-11-08,43
313,2020-11-09,47
0,2020-11-10,45
