,date,value
1049,2019-11-16,8881
1050,2019-11-17,8950
1051,2019-11-18,9072
1052,2019-11-19,9198
1053,2019-11-20,9217
1054,2019-11-21,9373
1055,2019-11-22,9569
1056,2019-11-23,9563
1057,2019-11-24,9648
1058,2019-11-25,9802
1059,2019-11-26,9857
1060,2019-11-27,9925
1061,2019-11-28,9898
1062,2019-11-29,9901
1063,2019-11-30,9819
1064,2019-12-01,9813
1065,2019-12-02,9863
1066,2019-12-03,9780
1067,2019-12-04,9794
1068,2019-12-05,9883
1069,2019-12-06,9903
1070,2019-12-07,9829
1071,2019-12-08,9860
1072,2019-12-09,9905
1073,2019-12-10,10009
1074,2019-12-11,10208
1075,2019-12-12,10180
1076,2019-12-13,10212
1077,2019-12-14,10367
1078,2019-12-15,10363
0,2019-12-16,10451
