,date,value
14,2020-09-15,17279
15,2020-09-16,23010
16,2020-09-17,28502
17,2020-09-18,34086
18,2020-09-19,39738
19,2020-09-20,45425
20,2020-09-21,51116
21,2020-09-22,56801
22,2020-09-23,62480
23,2020-09-24,68157
24,2020-09-25,73833
25,2020-09-26,79510
26,2020-09-27,85188
27,2020-09-28,90866
28,2020-09-29,96544
29,2020-09-30,102222
30,2020-10-01,107900
31,2020-10-02,113578
32,2020-10-03,119256
33,2020-10-04,124934
34,2020-10-05,130612
35,2020-10-06,136290
36,2020-10-07,141968
37,2020-10-08,147646
38,2020-10-09,153324
39,2020-10-10,159002
40,2020-10-11,164680
41,2020-10-12,170358
42,2020-10-13,176036
43,2020-10-14,181714
0,2020-10-15,187392
